ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,40,shade,f22,1,2,linear,1.0,0.0001,25,-1,0.9499212480312008,0.001607683309732456,0.00048301256171695876,0.0033010828774422407,,,800,200
True,40,shade,f22,1,3,linear,1.0,0.0001,25,-1,0.7631515787894698,0.007952248723462587,0.0015855676498753414,0.0036672919522970915,,,800,200
True,40,shade,f22,1,4,linear,1.0,0.0001,25,-1,0.7825095627390686,0.001027528984306286,0.0003821827340241478,0.0038109170272946358,,,800,200
True,41,shade,f22,1,1,linear,1.0,0.0001,50,-1,0.9302512562814071,0.0006316873024721379,0.00040224716343819386,0.0072087079752236605,,,800,200
True,41,shade,f22,1,2,linear,1.0,0.0001,50,-1,0.9531388284707119,0.0007137860896878921,0.00033779430637678845,0.007014000089839101,,,800,200
True,41,shade,f22,1,3,linear,1.0,0.0001,50,-1,0.7799519987999701,0.03790197672739574,0.003782782833312108,0.007493582786992192,,,800,200
True,41,shade,f22,1,4,linear,1.0,0.0001,50,-1,0.7784579614490363,0.0008146261788875394,0.00036011666043504075,0.0075356250163167715,,,800,200
True,42,shade,f22,1,1,linear,1.0,0.0001,100,-1,0.9323603090077253,0.0006180162080225884,0.0003834501455199772,0.016186374938115478,,,800,200
True,42,shade,f22,1,2,linear,1.0,0.0001,100,-1,0.9491667291682294,0.0030094212295404387,0.0005170125076736461,0.015944583108648658,,,800,200
True,42,shade,f22,1,3,linear,1.0,0.0001,100,-1,0.7638730968274208,0.010755088992705279,0.001969532989059776,0.016491708112880588,,,800,200
True,42,shade,f22,1,4,linear,1.0,0.0001,100,-1,0.7968844221105529,0.0006740304474610354,0.0003075616720900173,0.016484417021274567,,,800,200
True,43,shade,f22,1,1,linear,1.0,0.001,25,-1,0.9119927998199956,0.00076310141238797,0.0005153236077580279,0.0034271669574081898,,,800,200
True,43,shade,f22,1,2,linear,1.0,0.001,25,-1,0.4995469886747169,0.033033288803009965,0.007697731177439587,0.0032477499917149544,,,800,200
True,43,shade,f22,1,3,linear,1.0,0.001,25,-1,0.7841416035400885,0.0014639120711428429,0.0011100902711142532,0.003611832857131958,,,800,200
True,43,shade,f22,1,4,linear,1.0,0.001,25,-1,0.9031125778144453,0.0030164417997047273,0.00194632101096184,0.0038040420040488243,,,800,200
True,44,shade,f22,1,1,linear,1.0,0.001,50,-1,0.9248166204155106,0.000678391809082906,0.0004560345187960975,0.007182750152423978,,,800,200
True,44,shade,f22,1,2,linear,1.0,0.001,50,-1,0.9528268206705168,0.0011203674113116437,0.0006640360821686917,0.006920750020071864,,,800,200
True,44,shade,f22,1,3,linear,1.0,0.001,50,-1,0.7868251706292658,0.0015417068418027025,0.0011229787753406699,0.007404625182971358,,,800,200
True,44,shade,f22,1,4,linear,1.0,0.001,50,-1,0.801585539638491,0.0012709663216007743,0.0005654481566470696,0.007499790983274579,,,800,200
True,45,shade,f22,1,1,linear,1.0,0.001,100,-1,0.927515187879697,0.0006579226852783326,0.00043135621257536956,0.016175459139049053,,,800,200
True,45,shade,f22,1,2,linear,1.0,0.001,100,-1,0.944902122553064,0.003043344625553821,0.0006575975093045382,0.015948249958455563,,,800,200
True,45,shade,f22,1,3,linear,1.0,0.001,100,-1,0.7829475736893423,0.0019095316185129335,0.0011852205893767538,0.01639170804992318,,,800,200
True,45,shade,f22,1,4,linear,1.0,0.001,100,-1,0.762139053476337,0.0009719979345041955,0.00037972452792571005,0.01648883312009275,,,800,200
True,46,shade,f22,1,1,linear,1.0,0.01,25,-1,0.8405580139503488,0.001149631847080552,0.0008435813579181963,0.003405833151191473,,,800,200
